event_id,vehicle_id,vehicle_model,oem,event_ts,sensor_type,event_type,speed_kmph,confidence,severity
E10026,V020,SUV-X,OEM_A,2026-08-01 14:30:00,radar,pedestrian_detected,82.1,0.888,LOW
E10027,V003,Sedan-A,OEM_B,2026-08-01 14:45:00,radar,adaptive_cruise,58.3,0.966,LOW
E10028,V005,SUV-X,OEM_C,2026-08-01 15:00:00,camera,normal,38.1,0.924,LOW
E10029,V019,SUV-X,OEM_C,2026-08-01 15:15:00,ultrasonic,lane_departure,42.7,0.659,LOW
E10030,V007,Sedan-A,OEM_B,2026-08-01 15:30:00,camera,adaptive_cruise,87.4,0.748,MEDIUM
E10031,V009,EV-Z,OEM_B,2026-08-01 15:45:00,camera,normal,97.8,0.607,MEDIUM
E10032,V007,EV-Z,OEM_C,2026-08-01 16:00:00,lidar,blind_spot,102.9,0.97,LOW
E10033,V018,EV-Z,OEM_C,2026-08-01 16:15:00,radar,adaptive_cruise,102.7,0.817,HIGH
E10034,V004,EV-Z,OEM_B,2026-08-01 16:30:00,ultrasonic,lane_departure,11.9,0.651,MEDIUM
E10035,V014,EV-Z,OEM_A,2026-08-01 16:45:00,lidar,normal,64.3,0.846,LOW
E10036,V018,Sedan-A,OEM_A,2026-08-01 17:00:00,camera,normal,7.5,0.822,LOW
E10037,V009,Sedan-A,OEM_B,2026-08-01 17:15:00,radar,normal,71.4,0.708,LOW
E10038,V002,Hatch-B,OEM_A,2026-08-01 17:30:00,lidar,blind_spot,57.4,0.6,LOW
E10039,V020,EV-Z,OEM_B,2026-08-01 17:45:00,radar,adaptive_cruise,115.4,0.845,LOW
E10040,V015,Sedan-A,OEM_A,2026-08-01 18:00:00,lidar,blind_spot,45.6,0.779,LOW
E10041,V007,Hatch-B,OEM_A,2026-08-01 18:15:00,radar,forward_collision,15.2,0.89,LOW
E10042,V012,EV-Z,OEM_C,2026-08-01 18:30:00,camera,forward_collision,18.6,0.779,LOW
E10043,V008,SUV-X,OEM_C,2026-08-01 18:45:00,ultrasonic,adaptive_cruise,99.0,0.925,HIGH
E10044,V015,Hatch-B,OEM_A,2026-08-01 19:00:00,camera,blind_spot,80.4,0.793,LOW
E10045,V003,Sedan-A,OEM_A,2026-08-01 19:15:00,ultrasonic,lane_departure,13.1,0.797,LOW
E10046,V014,SUV-X,OEM_C,2026-08-01 19:30:00,radar,normal,10.9,0.936,LOW
E10047,V017,SUV-X,OEM_C,2026-08-01 19:45:00,lidar,normal,91.1,0.728,HIGH
E10048,V004,SUV-X,OEM_C,2026-08-01 20:00:00,camera,adaptive_cruise,9.5,0.609,LOW
E10049,V018,Hatch-B,OEM_B,2026-08-01 20:15:00,ultrasonic,forward_collision,106.8,0.563,LOW
E10050,V008,Sedan-A,OEM_A,2026-08-01 20:30:00,camera,forward_collision,91.8,0.882,HIGH
E10051,V004,SUV-X,OEM_C,2026-08-01 20:45:00,ultrasonic,normal,10.6,0.823,HIGH
E10052,V002,EV-Z,OEM_A,2026-08-01 21:00:00,camera,adaptive_cruise,11.0,0.86,MEDIUM
E10053,V006,SUV-X,OEM_B,2026-08-01 21:15:00,ultrasonic,blind_spot,128.3,0.644,LOW
E10054,V010,SUV-X,OEM_B,2026-08-01 21:30:00,ultrasonic,forward_collision,48.7,0.61,LOW
E10055,V004,Hatch-B,OEM_C,2026-08-01 21:45:00,radar,blind_spot,48.2,0.556,MEDIUM
E10056,V018,Hatch-B,OEM_B,2026-08-01 22:00:00,ultrasonic,forward_collision,105.7,0.704,HIGH
E10057,V012,Sedan-A,OEM_A,2026-08-01 22:15:00,radar,forward_collision,123.1,0.81,MEDIUM
E10058,V002,EV-Z,OEM_C,2026-08-01 22:30:00,ultrasonic,pedestrian_detected,128.2,0.723,MEDIUM
E10059,V010,Hatch-B,OEM_A,2026-08-01 22:45:00,lidar,forward_collision,97.9,0.742,LOW
E10060,V004,SUV-X,OEM_A,2026-08-01 23:00:00,lidar,lane_departure,48.9,0.948,MEDIUM
E10061,V014,Sedan-A,OEM_B,2026-08-01 23:15:00,lidar,adaptive_cruise,10.9,0.703,LOW
E10062,V016,SUV-X,OEM_B,2026-08-01 23:30:00,ultrasonic,adaptive_cruise,101.0,0.776,LOW
E10063,V015,SUV-X,OEM_B,2026-08-01 23:45:00,radar,blind_spot,72.6,0.895,LOW
E10064,V008,Hatch-B,OEM_B,2026-08-02 00:00:00,radar,forward_collision,55.1,0.724,LOW
E10065,V014,Sedan-A,OEM_B,2026-08-02 00:15:00,ultrasonic,lane_departure,117.8,0.824,LOW
E10066,V008,EV-Z,OEM_C,2026-08-02 00:30:00,lidar,blind_spot,14.5,0.929,LOW
E10067,V016,EV-Z,OEM_A,2026-08-02 00:45:00,lidar,pedestrian_detected,64.0,0.968,MEDIUM
E10068,V013,Hatch-B,OEM_A,2026-08-02 01:00:00,radar,blind_spot,1.5,0.615,LOW
E10069,V018,Hatch-B,OEM_A,2026-08-02 01:15:00,lidar,blind_spot,60.9,0.958,MEDIUM
E10070,V015,Sedan-A,OEM_A,2026-08-02 01:30:00,camera,forward_collision,7.3,0.767,LOW
E10071,V013,EV-Z,OEM_B,2026-08-02 01:45:00,radar,pedestrian_detected,15.4,0.664,LOW
E10072,V009,EV-Z,OEM_A,2026-08-02 02:00:00,lidar,blind_spot,15.3,0.752,LOW
E10073,V015,EV-Z,OEM_C,2026-08-02 02:15:00,radar,lane_departure,84.4,0.981,LOW
E10074,V013,SUV-X,OEM_C,2026-08-02 02:30:00,camera,lane_departure,97.0,0.767,LOW
E10075,V001,EV-Z,OEM_A,2026-08-02 02:45:00,radar,adaptive_cruise,75.8,0.695,LOW
E10076,V007,SUV-X,OEM_A,2026-08-02 03:00:00,radar,pedestrian_detected,125.1,0.829,LOW
E10077,V009,Sedan-A,OEM_C,2026-08-02 03:15:00,radar,pedestrian_detected,48.7,0.656,HIGH
E10078,V001,SUV-X,OEM_C,2026-08-02 03:30:00,radar,adaptive_cruise,37.1,0.583,LOW
E10079,V012,Sedan-A,OEM_B,2026-08-02 03:45:00,camera,blind_spot,112.9,0.607,MEDIUM
E10080,V008,EV-Z,OEM_C,2026-08-02 04:00:00,ultrasonic,pedestrian_detected,29.1,0.606,LOW
E10081,V011,EV-Z,OEM_B,2026-08-02 04:15:00,radar,lane_departure,125.2,0.617,MEDIUM
E10082,V019,Sedan-A,OEM_B,2026-08-02 04:30:00,radar,lane_departure,1.6,0.611,MEDIUM
E10083,V017,Hatch-B,OEM_B,2026-08-02 04:45:00,lidar,forward_collision,126.1,0.832,MEDIUM
E10084,V008,Sedan-A,OEM_B,2026-08-02 05:00:00,radar,pedestrian_detected,5.6,0.63,LOW
E10085,V003,Hatch-B,OEM_B,2026-08-02 05:15:00,lidar,blind_spot,115.8,0.702,LOW
E10086,V003,SUV-X,OEM_A,2026-08-02 05:30:00,ultrasonic,adaptive_cruise,68.6,0.945,LOW
E10087,V001,SUV-X,OEM_C,2026-08-02 05:45:00,camera,adaptive_cruise,129.1,0.759,HIGH
E10088,V005,SUV-X,OEM_B,2026-08-02 06:00:00,camera,blind_spot,9.6,0.844,MEDIUM
E10089,V010,EV-Z,OEM_C,2026-08-02 06:15:00,ultrasonic,normal,72.0,0.626,HIGH
E10090,V007,SUV-X,OEM_C,2026-08-02 06:30:00,camera,forward_collision,126.0,0.635,LOW
E10091,V009,Hatch-B,OEM_B,2026-08-02 06:45:00,ultrasonic,adaptive_cruise,68.0,0.568,MEDIUM
E10092,V007,SUV-X,OEM_A,2026-08-02 07:00:00,ultrasonic,pedestrian_detected,81.8,0.624,HIGH
E10093,V009,Sedan-A,OEM_B,2026-08-02 07:15:00,ultrasonic,forward_collision,90.4,0.673,LOW
E10094,V008,Sedan-A,OEM_A,2026-08-02 07:30:00,camera,pedestrian_detected,59.1,0.628,LOW
E10095,V012,EV-Z,OEM_C,2026-08-02 07:45:00,lidar,lane_departure,81.6,0.589,MEDIUM
E10096,V002,Sedan-A,OEM_A,2026-08-02 08:00:00,ultrasonic,forward_collision,76.0,0.603,MEDIUM
E10097,V001,Hatch-B,OEM_A,2026-08-02 08:15:00,radar,adaptive_cruise,117.2,0.753,MEDIUM
E10098,V016,SUV-X,OEM_A,2026-08-02 08:30:00,camera,forward_collision,5.9,0.641,LOW
E10099,V005,EV-Z,OEM_C,2026-08-02 08:45:00,ultrasonic,forward_collision,36.5,0.71,MEDIUM
E10100,V003,SUV-X,OEM_C,2026-08-02 09:00:00,ultrasonic,forward_collision,123.6,0.772,LOW
E10101,V012,SUV-X,OEM_A,2026-08-02 09:15:00,radar,normal,115.7,0.854,LOW
E10102,V008,Hatch-B,OEM_A,2026-08-02 09:30:00,lidar,forward_collision,59.2,0.567,LOW
E10103,V003,Sedan-A,OEM_B,2026-08-02 09:45:00,lidar,pedestrian_detected,80.6,0.902,MEDIUM
E10104,V001,Sedan-A,OEM_A,2026-08-02 10:00:00,lidar,lane_departure,36.1,0.826,MEDIUM
E10105,V003,SUV-X,OEM_B,2026-08-02 10:15:00,ultrasonic,blind_spot,24.5,0.586,LOW
E10106,V005,EV-Z,OEM_A,2026-08-02 10:30:00,ultrasonic,forward_collision,60.3,0.934,LOW
E10107,V015,Sedan-A,OEM_B,2026-08-02 10:45:00,ultrasonic,adaptive_cruise,45.9,0.955,HIGH
E10108,V014,EV-Z,OEM_C,2026-08-02 11:00:00,camera,forward_collision,75.9,0.577,LOW
E10109,V003,Sedan-A,OEM_A,2026-08-02 11:15:00,radar,adaptive_cruise,10.1,0.672,MEDIUM
E10110,V001,EV-Z,OEM_A,2026-08-02 11:30:00,ultrasonic,pedestrian_detected,126.7,0.905,LOW
E10111,V005,Hatch-B,OEM_A,2026-08-02 11:45:00,radar,adaptive_cruise,128.2,0.879,LOW
E10112,V014,EV-Z,OEM_A,2026-08-02 12:00:00,radar,blind_spot,90.8,0.631,LOW
E10113,V007,Hatch-B,OEM_B,2026-08-02 12:15:00,lidar,lane_departure,69.7,0.642,LOW
E10114,V009,Hatch-B,OEM_A,2026-08-02 12:30:00,camera,adaptive_cruise,40.2,0.713,MEDIUM
E10115,V015,EV-Z,OEM_C,2026-08-02 12:45:00,ultrasonic,adaptive_cruise,105.8,0.763,LOW
E10116,V015,Hatch-B,OEM_C,2026-08-02 13:00:00,lidar,lane_departure,89.0,0.822,LOW
E10117,V010,SUV-X,OEM_A,2026-08-02 13:15:00,lidar,blind_spot,21.1,0.712,HIGH
E10118,V013,Hatch-B,OEM_C,2026-08-02 13:30:00,ultrasonic,forward_collision,118.4,0.754,LOW
E10119,V019,Sedan-A,OEM_A,2026-08-02 13:45:00,radar,adaptive_cruise,106.9,0.879,LOW
