customer_id,segment,annual_spend,last_purchase_date,marketing_opt_in
CUST0000114,At Risk,61302.61,2026-05-11,N
CUST0000115,High Value,51075.93,2026-03-30,N
CUST0000116,Regular,73046.58,2026-05-02,N
CUST0000117,Occasional,98359.04,2026-03-28,N
CUST0000118,Regular,1724.73,2026-02-11,N
CUST0000119,Occasional,34732.98,2026-02-14,Y
CUST0000120,High Value,64601.49,2026-03-29,Y
CUST0000121,Occasional,29288.42,2026-02-08,Y
CUST0000122,High Value,786.78,2026-01-05,Y
CUST0000123,High Value,64726.56,2026-03-26,Y
CUST0000124,Regular,26285.03,2026-01-02,N
CUST0000125,High Value,91557.24,2026-06-02,Y
CUST0000126,Regular,54567.76,2026-01-30,N
CUST0000127,At Risk,89520.96,2026-07-28,N
CUST0000128,Occasional,52740.63,2026-01-25,N
CUST0000129,At Risk,75697.39,2026-03-26,N
CUST0000130,High Value,80592.45,2026-04-26,Y
CUST0000131,Regular,49867.36,2026-02-03,N
CUST0000132,Occasional,14600.4,2026-01-15,N
CUST0000133,High Value,1763.86,2026-06-18,Y
CUST0000134,At Risk,57505.6,2026-05-29,Y
CUST0000135,At Risk,55286.69,2026-07-27,N
CUST0000136,At Risk,18224.31,2026-02-23,N
CUST0000137,Regular,56370.64,2026-02-09,Y
CUST0000138,At Risk,49588.96,2026-03-20,N
CUST0000139,High Value,60898.17,2026-05-09,Y
CUST0000140,At Risk,62644.66,2026-03-16,Y
CUST0000141,Occasional,18040.64,2026-03-15,N
CUST0000142,At Risk,77514.09,2026-07-06,N
CUST0000143,Regular,3005.69,2026-03-09,N
CUST0000144,High Value,82255.21,2026-04-02,Y
CUST0000145,Regular,89380.03,2026-02-10,N
CUST0000146,At Risk,89451.01,2026-01-08,Y
CUST0000147,High Value,8494.26,2026-05-12,N
CUST0000148,Regular,99811.79,2026-07-24,Y
CUST0000149,Occasional,36841.59,2026-02-07,Y
CUST0000150,High Value,44433.15,2026-02-13,Y
CUST0000151,At Risk,83068.08,2026-07-06,Y
CUST0000152,High Value,82250.96,2026-01-06,Y
CUST0000153,At Risk,11895.55,2026-05-05,Y
CUST0000154,At Risk,34431.62,2026-02-03,N
CUST0000155,High Value,95023.86,2026-01-17,N
CUST0000156,Regular,33311.67,2026-05-20,Y
CUST0000157,Regular,15972.39,2026-01-17,N
CUST0000158,High Value,10837.21,2026-05-15,N
CUST0000159,Occasional,75951.82,2026-03-13,N
CUST0000160,At Risk,27535.18,2026-02-11,Y
CUST0000161,Regular,17500.0,2026-05-16,Y
CUST0000162,At Risk,83271.19,2026-04-13,N
CUST0000163,Regular,76456.93,2026-04-30,Y
CUST0000164,At Risk,99615.88,2026-01-20,Y
CUST0000165,Regular,680.16,2026-05-18,Y
CUST0000166,At Risk,44729.01,2026-06-22,Y
CUST0000167,Regular,60358.96,2026-03-31,Y
CUST0000168,Regular,72654.81,2026-01-16,Y
CUST0000169,Occasional,26390.62,2026-05-14,N
CUST0000170,Occasional,54947.23,2026-07-04,Y
CUST0000171,High Value,24235.07,2026-07-16,Y
CUST0000172,Regular,31983.72,2026-06-21,Y
CUST0000173,Occasional,15473.54,2026-06-20,N
CUST0000174,Regular,94047.98,2026-02-11,N
CUST0000175,Regular,52918.99,2026-06-16,Y
CUST0000176,Occasional,74473.59,2026-04-08,N
CUST0000177,Regular,33278.44,2026-06-27,Y
CUST0000178,Occasional,10945.12,2026-07-20,Y
CUST0000179,High Value,95353.81,2026-05-15,N
CUST0000180,At Risk,81616.59,2026-06-13,N
CUST0000181,High Value,32213.2,2026-02-28,N
CUST0000182,Occasional,14086.72,2026-05-05,Y
CUST0000183,Occasional,18923.44,2026-03-19,Y
CUST0000184,Occasional,58672.96,2026-04-20,N
CUST0000185,Occasional,84804.5,2026-01-16,N
CUST0000186,Regular,67354.92,2026-02-20,Y
CUST0000187,High Value,93967.97,2026-06-26,N
CUST0000188,High Value,12611.92,2026-06-28,N
CUST0000189,High Value,77501.3,2026-04-16,N
CUST0000190,At Risk,27861.08,2026-04-07,Y
CUST0000191,At Risk,53994.62,2026-03-20,N
CUST0000192,At Risk,26993.57,2026-06-05,Y
CUST0000193,At Risk,58892.97,2026-02-27,Y
CUST0000194,Regular,57862.12,2026-02-08,N
CUST0000195,High Value,18531.01,2026-07-16,N
CUST0000196,At Risk,64615.54,2026-04-27,Y
CUST0000197,At Risk,46513.71,2026-03-31,Y
CUST0000198,Regular,46996.12,2026-05-29,N
CUST0000199,High Value,60487.53,2026-02-01,Y
CUST0000200,Occasional,84513.68,2026-05-01,N
CUST0000201,Regular,16135.75,2026-02-26,N
CUST0000202,High Value,81238.61,2026-01-13,Y
CUST0000203,High Value,12801.93,2026-02-02,N
CUST0000204,At Risk,24983.22,2026-05-26,Y
CUST0000205,Regular,64384.34,2026-02-22,N
CUST0000206,Occasional,47328.36,2026-07-11,N
CUST0000207,At Risk,51933.71,2026-01-22,Y
CUST0000208,Occasional,29989.5,2026-07-22,N
CUST0000209,Regular,23055.45,2026-07-01,Y
CUST0000210,Occasional,71933.61,2026-01-25,N
CUST0000211,At Risk,62662.21,2026-05-08,N
CUST0000212,Occasional,69571.69,2026-07-24,Y
CUST0000213,Occasional,24320.2,2026-05-02,Y
CUST0000214,High Value,12282.8,2026-02-03,Y
CUST0000215,Regular,54452.54,2026-02-25,Y
CUST0000216,Occasional,71224.65,2026-03-26,N
CUST0000217,Occasional,43998.01,2026-03-22,Y
CUST0000218,At Risk,72385.04,2026-05-26,N
CUST0000219,High Value,55151.33,2026-06-14,N
CUST0000220,Occasional,42101.9,2026-05-10,N
CUST0000221,Regular,62074.12,2026-03-08,Y
CUST0000222,At Risk,55021.63,2026-01-14,N
CUST0000223,Regular,88637.48,2026-03-03,N
CUST0000224,Occasional,26429.64,2026-04-01,Y
CUST0000225,Occasional,16705.25,2026-04-05,Y
CUST0000226,Regular,12285.04,2026-05-20,N
CUST0000227,Occasional,73674.75,2026-07-02,N
CUST0000228,High Value,23036.13,2026-01-02,N
CUST0000229,High Value,90638.23,2026-01-17,N
CUST0000230,Occasional,80486.49,2026-06-23,N
CUST0000231,At Risk,21675.67,2026-06-18,Y
CUST0000232,At Risk,49870.06,2026-02-01,Y
CUST0000233,At Risk,48069.76,2026-05-11,N
CUST0000234,Occasional,37974.66,2026-05-10,Y
CUST0000235,High Value,43888.99,2026-06-19,Y
CUST0000236,At Risk,21305.64,2026-02-24,N
CUST0000237,Regular,79108.81,2026-01-11,N
CUST0000238,High Value,13339.57,2026-03-23,Y
CUST0000239,At Risk,87516.2,2026-07-18,N
CUST0000240,Occasional,68945.9,2026-06-14,Y
CUST0000241,At Risk,60452.64,2026-06-22,N
CUST0000242,Occasional,83380.13,2026-01-14,N
CUST0000243,Regular,25963.81,2026-04-26,Y
CUST0000244,At Risk,60595.15,2026-02-06,Y
CUST0000245,At Risk,37653.68,2026-01-22,N
CUST0000246,Occasional,51711.72,2026-06-08,Y
CUST0000247,Regular,25392.04,2026-04-14,N
CUST0000248,At Risk,61271.23,2026-07-28,N
CUST0000249,At Risk,75903.08,2026-07-16,Y
CUST0000250,High Value,73584.09,2026-03-01,N
CUST0000251,High Value,92540.82,2026-02-07,Y
CUST0000252,High Value,36302.79,2026-01-13,N
CUST0000253,At Risk,14547.97,2026-03-26,N
CUST0000254,Occasional,63502.92,2026-02-28,N
CUST0000255,At Risk,1138.58,2026-02-02,N
CUST0000256,High Value,25995.43,2026-02-01,Y
CUST0000257,Regular,32744.26,2026-04-14,N
CUST0000258,Regular,10729.37,2026-07-13,Y
CUST0000259,Regular,20765.21,2026-07-04,Y
CUST0000260,High Value,23673.11,2026-01-07,Y
CUST0000261,High Value,22240.78,2026-01-28,N
CUST0000262,Occasional,16760.84,2026-07-20,Y
CUST0000263,Occasional,38092.5,2026-04-21,Y
CUST0000264,Regular,65736.92,2026-07-11,N
CUST0000265,At Risk,19903.04,2026-01-25,Y
CUST0000266,Regular,14481.8,2026-06-01,N
CUST0000267,High Value,22606.76,2026-07-12,Y
CUST0000268,Occasional,15107.33,2026-04-18,N
CUST0000269,At Risk,9755.27,2026-02-22,N
CUST0000270,Regular,68296.58,2026-06-04,Y
CUST0000271,Regular,26755.02,2026-01-25,N
CUST0000272,At Risk,34266.14,2026-07-09,Y
CUST0000273,Occasional,48631.79,2026-03-15,N
CUST0000274,Occasional,3947.81,2026-01-11,N
CUST0000275,High Value,79953.25,2026-01-04,N
CUST0000276,Occasional,2510.93,2026-05-16,N
CUST0000277,At Risk,83298.1,2026-05-03,N
CUST0000278,High Value,20052.45,2026-02-15,N
CUST0000279,Regular,18524.88,2026-06-24,Y
CUST0000280,At Risk,57747.44,2026-02-16,Y
CUST0000281,At Risk,11276.73,2026-04-13,N
CUST0000282,Regular,65219.05,2026-07-07,Y
CUST0000283,High Value,29186.47,2026-05-05,Y
CUST0000284,High Value,62561.21,2026-05-11,Y
CUST0000285,Occasional,8180.08,2026-06-27,Y
CUST0000286,Regular,79511.64,2026-04-25,N
CUST0000287,At Risk,81119.47,2026-01-21,N
CUST0000288,Regular,23354.82,2026-01-05,N
CUST0000289,Occasional,4921.95,2026-03-09,Y
CUST0000290,At Risk,46482.07,2026-07-18,Y
CUST0000291,High Value,11984.04,2026-03-25,N
CUST0000292,Regular,44149.56,2026-05-20,Y
CUST0000293,Occasional,78926.6,2026-06-07,N
CUST0000294,Occasional,33410.19,2026-03-20,N
CUST0000295,Regular,3263.54,2026-01-15,Y
CUST0000296,Occasional,12729.12,2026-03-17,N
CUST0000297,Regular,2970.12,2026-07-21,Y
CUST0000298,High Value,19868.86,2026-04-24,Y
CUST0000299,Occasional,12946.75,2026-02-03,N
CUST0000300,At Risk,29970.15,2026-03-26,Y
CUST0000301,Occasional,58562.08,2026-02-28,Y
CUST0000302,High Value,14845.14,2026-05-11,N
CUST0000303,Regular,1721.22,2026-01-19,Y
CUST0000304,Occasional,9933.12,2026-04-12,Y
CUST0000305,Occasional,75249.7,2026-02-21,N
CUST0000306,Regular,64826.5,2026-06-05,N
CUST0000307,At Risk,68903.89,2026-03-30,N
CUST0000308,At Risk,75163.21,2026-06-18,Y
CUST0000309,Occasional,77444.69,2026-06-11,Y
CUST0000310,Occasional,94209.72,2026-05-05,Y
CUST0000311,High Value,34925.9,2026-01-31,N
CUST0000312,Regular,22715.86,2026-04-05,Y
CUST0000313,Occasional,90224.37,2026-01-25,Y
CUST0000314,Regular,6116.96,2026-07-06,Y
CUST0000315,High Value,88022.63,2026-03-08,N
CUST0000316,Occasional,62675.89,2026-06-19,Y
CUST0000317,Occasional,53436.15,2026-04-16,Y
CUST0000318,High Value,26974.54,2026-05-11,N
CUST0000319,High Value,29246.81,2026-01-16,N
CUST0000320,Occasional,50956.74,2026-06-17,N
CUST0000321,Occasional,25409.16,2026-01-20,Y
CUST0000322,At Risk,44852.42,2026-07-03,Y
CUST0000323,Occasional,18406.79,2026-06-09,N
CUST0000324,Regular,47985.17,2026-07-02,Y
CUST0000325,Regular,53118.3,2026-07-12,Y
CUST0000326,Regular,85895.47,2026-03-24,Y
CUST0000327,Occasional,72521.15,2026-01-05,N
CUST0000328,Occasional,21925.16,2026-01-03,N
CUST0000329,At Risk,18149.23,2026-05-26,Y
CUST0000330,Regular,44126.64,2026-06-29,Y
CUST0000331,At Risk,22450.93,2026-04-24,N
CUST0000332,At Risk,75278.98,2026-05-31,Y
CUST0000333,Regular,35909.59,2026-04-15,Y
CUST0000334,At Risk,73640.48,2026-07-29,N
CUST0000335,At Risk,51426.92,2026-01-14,Y
CUST0000336,Regular,80698.78,2026-06-22,N
CUST0000337,At Risk,63875.35,2026-01-13,Y
CUST0000338,Regular,88393.3,2026-06-19,N
CUST0000339,Regular,76715.36,2026-03-16,N
CUST0000340,At Risk,34785.7,2026-04-15,N
CUST0000341,High Value,4298.2,2026-03-13,Y
CUST0000342,Occasional,62087.62,2026-03-02,Y
CUST0000343,High Value,21831.54,2026-07-23,Y
CUST0000344,Occasional,12642.41,2026-06-01,Y
CUST0000345,Regular,31997.96,2026-07-14,Y
CUST0000346,At Risk,65030.05,2026-03-09,N
CUST0000347,Occasional,13847.12,2026-04-22,Y
CUST0000348,Occasional,48128.46,2026-01-01,N
CUST0000349,At Risk,14083.25,2026-07-26,Y
CUST0000350,High Value,7532.19,2026-06-29,N
CUST0000351,Regular,23235.33,2026-01-04,Y
CUST0000352,Occasional,80573.41,2026-06-13,N
CUST0000353,At Risk,57083.17,2026-04-10,N
CUST0000354,Regular,43096.12,2026-06-26,Y
CUST0000355,Occasional,73807.55,2026-06-26,N
CUST0000356,At Risk,89288.08,2026-01-13,N
CUST0000357,Occasional,55428.3,2026-05-09,Y
CUST0000358,At Risk,51434.95,2026-04-12,N
CUST0000359,Regular,42698.3,2026-01-28,Y
CUST0000360,Occasional,990.85,2026-05-20,N
CUST0000361,At Risk,77230.03,2026-03-28,N
CUST0000362,Occasional,22308.01,2026-06-16,N
CUST0000363,Occasional,13350.73,2026-03-15,Y
CUST0000364,At Risk,33917.09,2026-01-10,Y
CUST0000365,Occasional,74289.01,2026-02-15,Y
CUST0000366,Regular,67121.65,2026-05-15,Y
CUST0000367,At Risk,10489.35,2026-05-10,Y
CUST0000368,High Value,25186.46,2026-02-18,N
CUST0000369,Occasional,20046.04,2026-02-28,Y
CUST0000370,Regular,74509.31,2026-02-07,N
CUST0000371,At Risk,87004.77,2026-02-23,Y
CUST0000372,Regular,93187.18,2026-06-10,N
CUST0000373,At Risk,57640.86,2026-01-09,Y
CUST0000374,High Value,59543.7,2026-01-21,N
CUST0000375,Regular,632.55,2026-02-06,Y
CUST0000376,At Risk,94129.31,2026-06-25,Y
CUST0000377,Occasional,337.06,2026-01-16,Y
CUST0000378,At Risk,25031.93,2026-01-23,N
CUST0000379,At Risk,36720.15,2026-01-18,Y
CUST0000380,High Value,39353.45,2026-05-14,Y
CUST0000381,Occasional,17581.62,2026-06-16,Y
CUST0000382,At Risk,57629.6,2026-07-29,Y
CUST0000383,Regular,20934.75,2026-04-02,N
CUST0000384,Regular,12956.26,2026-05-12,Y
CUST0000385,Occasional,41615.15,2026-07-09,N
CUST0000386,At Risk,88357.86,2026-04-15,N
CUST0000387,Regular,76205.03,2026-06-16,N
CUST0000388,Occasional,42125.69,2026-02-08,Y
CUST0000389,Occasional,65450.06,2026-04-12,Y
CUST0000390,At Risk,38123.06,2026-02-08,Y
CUST0000391,Occasional,63657.86,2026-01-20,N
CUST0000392,High Value,3504.49,2026-04-02,Y
CUST0000393,High Value,96117.24,2026-06-23,N
CUST0000394,High Value,67120.32,2026-02-20,N
CUST0000395,At Risk,55925.67,2026-02-18,N
CUST0000396,Occasional,30039.68,2026-05-17,N
CUST0000397,Regular,21267.74,2026-05-14,Y
CUST0000398,At Risk,95620.05,2026-05-02,N
CUST0000399,Occasional,88496.86,2026-01-16,Y
CUST0000400,At Risk,84367.0,2026-02-09,Y
CUST0000401,High Value,54339.05,2026-04-21,N
CUST0000402,Occasional,6647.19,2026-01-06,N
CUST0000403,At Risk,88285.71,2026-06-07,N
CUST0000404,At Risk,66474.23,2026-05-30,Y
CUST0000405,High Value,12172.66,2026-07-29,Y
CUST0000406,Regular,61791.25,2026-03-18,Y
CUST0000407,Occasional,78821.8,2026-05-14,Y
CUST0000408,Occasional,21489.87,2026-04-07,N
CUST0000409,High Value,81571.95,2026-02-22,N
CUST0000410,High Value,61309.02,2026-01-28,Y
CUST0000411,At Risk,76800.84,2026-03-31,N
CUST0000412,Occasional,80206.46,2026-02-28,Y
CUST0000413,High Value,22117.31,2026-07-01,N
CUST0000414,Occasional,21274.28,2026-03-16,N
CUST0000415,Regular,46730.73,2026-03-24,N
CUST0000416,At Risk,75791.45,2026-07-07,Y
CUST0000417,At Risk,22586.61,2026-02-05,Y
CUST0000418,Occasional,39732.08,2026-07-07,N
CUST0000419,High Value,7503.34,2026-01-07,N
CUST0000420,Occasional,47177.66,2026-07-16,N
CUST0000421,Occasional,40051.45,2026-07-14,Y
CUST0000422,Regular,22775.77,2026-07-16,Y
CUST0000423,Regular,36249.11,2026-03-07,N
CUST0000424,At Risk,13722.2,2026-02-13,N
CUST0000425,At Risk,73128.51,2026-01-10,N
CUST0000426,Occasional,21895.78,2026-01-11,N
CUST0000427,High Value,43697.03,2026-02-10,Y
CUST0000428,High Value,15364.26,2026-06-23,N
CUST0000429,At Risk,27985.48,2026-07-11,N
CUST0000430,Occasional,54609.97,2026-01-19,N
CUST0000431,At Risk,64161.65,2026-05-11,N
CUST0000432,Regular,77577.28,2026-01-13,N
CUST0000433,High Value,6212.23,2026-04-22,N
CUST0000434,Occasional,5605.57,2026-05-28,N
CUST0000435,Regular,13651.14,2026-04-12,Y
CUST0000436,At Risk,62652.19,2026-07-11,Y
CUST0000437,Occasional,33211.67,2026-04-28,N
CUST0000438,Regular,2822.71,2026-04-25,Y
CUST0000439,Occasional,11201.71,2026-04-10,N
CUST0000440,High Value,32673.19,2026-01-30,N
CUST0000441,At Risk,20427.01,2026-03-11,N
CUST0000442,Regular,49855.83,2026-06-17,N
CUST0000443,Occasional,10201.77,2026-07-26,N
CUST0000444,At Risk,68614.72,2026-07-29,N
CUST0000445,At Risk,52595.96,2026-05-29,Y
CUST0000446,At Risk,14698.06,2026-04-20,N
CUST0000447,At Risk,84655.95,2026-03-26,N
CUST0000448,Occasional,98230.87,2026-03-04,N
CUST0000449,At Risk,5772.97,2026-01-21,Y
CUST0000450,High Value,46190.58,2026-02-04,N
CUST0000451,At Risk,81023.58,2026-05-04,Y
CUST0000452,Regular,77165.46,2026-03-20,Y
CUST0000453,Occasional,73751.91,2026-04-09,Y
CUST0000454,Regular,48125.5,2026-06-26,N
CUST0000455,High Value,99841.6,2026-04-02,N
CUST0000456,Regular,3855.91,2026-02-16,N
CUST0000457,Regular,15859.64,2026-05-27,Y
CUST0000458,Occasional,63858.82,2026-07-19,N
CUST0000459,At Risk,18331.34,2026-07-12,Y
CUST0000460,Occasional,27508.27,2026-04-02,N
CUST0000461,Regular,22816.53,2026-01-29,N
CUST0000462,High Value,6233.86,2026-05-09,Y
CUST0000463,At Risk,38722.44,2026-05-22,Y
CUST0000464,High Value,24494.57,2026-07-30,N
CUST0000465,High Value,2065.03,2026-01-22,Y
CUST0000466,At Risk,22766.92,2026-01-20,N
CUST0000467,Occasional,74923.78,2026-01-15,N
CUST0000468,At Risk,76883.62,2026-06-20,Y
CUST0000469,Regular,82317.49,2026-07-28,N
CUST0000470,At Risk,22954.77,2026-06-04,Y
CUST0000471,At Risk,62226.9,2026-05-02,N
CUST0000472,At Risk,97245.51,2026-07-13,N
CUST0000473,Occasional,92584.06,2026-07-02,N
CUST0000474,At Risk,35214.44,2026-05-01,N
CUST0000475,Occasional,84337.34,2026-06-27,N
CUST0000476,At Risk,36308.26,2026-03-02,Y
CUST0000477,Occasional,66625.12,2026-04-03,Y
CUST0000478,Regular,39558.22,2026-02-24,N
CUST0000479,Regular,95571.82,2026-04-23,Y
CUST0000480,Regular,28833.54,2026-06-30,N
CUST0000481,At Risk,27614.01,2026-01-10,N
CUST0000482,Regular,96870.88,2026-04-07,Y
CUST0000483,Occasional,49281.77,2026-04-10,Y
CUST0000484,Occasional,51094.31,2026-02-14,N
CUST0000485,At Risk,6319.57,2026-03-09,Y
CUST0000486,Occasional,32706.51,2026-05-06,N
CUST0000487,At Risk,37046.7,2026-06-19,N
CUST0000488,Occasional,74457.25,2026-06-23,N
CUST0000489,Occasional,85456.62,2026-02-11,N
CUST0000490,At Risk,92754.99,2026-03-08,N
CUST0000491,At Risk,97051.0,2026-06-11,Y
CUST0000492,Occasional,4330.37,2026-05-04,N
CUST0000493,Regular,4865.6,2026-03-14,N
CUST0000494,High Value,31330.35,2026-05-24,Y
CUST0000495,At Risk,10743.59,2026-03-04,N
CUST0000496,High Value,61666.54,2026-07-18,N
CUST0000497,Regular,38475.93,2026-05-19,N
CUST0000498,At Risk,14888.02,2026-01-24,Y
CUST0000499,Regular,46739.18,2026-02-12,Y
CUST0000500,High Value,92647.31,2026-07-14,N
CUST0000501,At Risk,18810.16,2026-04-05,N
CUST0000502,Regular,20069.63,2026-04-24,Y
CUST0000503,Occasional,30154.05,2026-05-04,N
CUST0000504,At Risk,38489.57,2026-01-12,Y
CUST0000505,At Risk,42476.18,2026-04-16,N
CUST0000506,At Risk,36349.76,2026-02-14,Y
CUST0000507,Occasional,81322.03,2026-05-09,N
CUST0000508,Regular,26651.73,2026-06-13,Y
CUST0000509,High Value,15197.73,2026-04-17,N
CUST0000510,Regular,27989.44,2026-05-01,Y
CUST0000511,At Risk,41242.51,2026-05-25,N
CUST0000512,Occasional,25629.2,2026-04-16,Y
CUST0000513,High Value,74016.69,2026-05-02,Y
CUST0000514,At Risk,10180.99,2026-03-13,Y
CUST0000515,At Risk,83539.86,2026-06-18,N
CUST0000516,At Risk,71917.74,2026-05-12,N
CUST0000517,At Risk,24932.25,2026-07-07,Y
CUST0000518,At Risk,697.14,2026-04-02,N
CUST0000519,At Risk,66657.24,2026-01-18,Y
CUST0000520,Occasional,90950.8,2026-06-08,Y
CUST0000521,Occasional,36350.08,2026-02-21,Y
CUST0000522,High Value,83877.45,2026-06-24,Y
CUST0000523,Regular,22619.25,2026-07-30,N
CUST0000524,At Risk,81731.2,2026-02-21,N
CUST0000525,High Value,68931.71,2026-03-17,N
CUST0000526,Occasional,20694.12,2026-04-05,N
CUST0000527,High Value,52046.47,2026-02-11,N
CUST0000528,High Value,55265.98,2026-04-07,Y
CUST0000529,At Risk,70038.55,2026-04-21,Y
CUST0000530,Regular,82994.93,2026-01-30,N
CUST0000531,Regular,39835.56,2026-02-06,N
CUST0000532,Regular,8853.46,2026-01-09,N
CUST0000533,High Value,89314.65,2026-03-10,N
CUST0000534,Occasional,46990.91,2026-05-09,Y
CUST0000535,High Value,95579.28,2026-07-10,N
